Reviewer Name,Country,Review Rating,Review Description
payweb,Malaysia,4.3,"This order took a little longer and couple of fixes than usual, but the tasks completed perfectly."
mirabelle1998,Germany,5,Everthing was delivered on time and as needed. I would highly recommend the seller! :-)
softsoulss,Pakistan,5,Excellent Work.
adrianj45,United States,5,"Thanks for your great service.
Excellent Work."
sophihun,United States,5,"I like service provided photophactory, most recommended."
ouobam,United States,5,I am satisfied with the final delivery. Look forward to working with him again
andreaoshogwe,Nigeria,5,Amazing service. Smart & on time. Very happy. Took details for more lessons. Really learnt alot. 100% recommended.
secretsauce572,Canada,5,As always excellent work done by Aqsa.
secretsauce572,Canada,5,Aqsa was a pleasure to work with and delivered high quality results in a timely manner.
p_back,Austria,5,"Fast delivery and good quality of annotations, thank you!"
fncomp,United States,5,Did a great job labeling data. Looking forward to working with him again.
fncomp,United States,5,Did a great job labeling. Looking forward to working with him again.
cosmicawe,Turkey,5,Cool guy with good work
margieyoung32,United States,5,"Thanks for your great service.
Excellent Work."
adrianj45,United States,5,"I like service provided photophactory, recommended."
photophactory,Pakistan,5,Outstanding experience!
photophactory,Pakistan,5,Thank you for your hard work
photophactory,Pakistan,5,very gaood service
adentium,United States,5,Good quality and quick
kolo27921,United States,5,Great and fast
raysandhu902,United States,5,great work.. fast and responsive
raysandhu902,United States,5,"Great work, on time and very professional."
usama__nawaz,Pakistan,5,Osama is a very professional freelancer and I am very satisfied with his work. His communication and quality of work were up to the mark. I would definitively want to work with him again.
parisazadeh,United States,5,Good collaboration and communication - led to a good work as well
ibtisamarif,Pakistan,5,again a great experience!
ibtisamarif,Pakistan,5,It was great working with Osama
aviarora337,United States,5,Seller produced high quality writing.
belkassem,United States,5,"She is awesome and did a great job. I would definitely recommend her to any one and Promise I will back to her. She delivered way before the time, that was great gain of time."
annaangel733,United States,5,"Very good result, be on time , I ll keep wokrinh with her"
annaangel733,United States,5,Nice wokr ver clar and be on time delivery
beardays886,Singapore,5,Thanks for the fast work!
annaangel733,United States,5,great jobs
rohannadim,Australia,5,Great working with him delivered well before time and was patient to teach me everything regarding the prediction model. Highly recommended.
aliqulijev,Netherlands,5,"Syed was great with the communication, very clear and fast with responding. The service delivered was perfect and he seeks to find ways to add even more value to the project. Would recommend 10/10 to work with Syed again, thanks Syed!"
annaangel733,United States,5,Nice work
alvkim,United States,5,Well delivered on time
gabrielmbenda,France,5,Job done according to the requierements. thank you again dear.
relevancy,Canada,5,"Manish is highly talented, skilled coder and above all he goes above and beyond with his service. Excellent communicator. highly recommended for Data Science project."
alexohlei,Germany,5,The work was done professionally and the delivery was ahead of Schedule. Good Job!
noor1404,United Kingdom,4,I  recommend this seller he is  very helpful and patient he gave me the work on the time and he did all the modification that I requested from him
sarvana1,Malaysia,5,Great person to talk with and very helpful when it comes to details. Faster delivery than expected time. Excellent service.
dean2027,France,5,Great working with him delivered well before time and was patient to teach me everything regarding the prediction model. Highly recommended.
website_matters,Pakistan,5,"there was a problem in the middle but at the end the delivery was great as always, surely will work again with kranthimottu"
fajayi,Nigeria,5,My experience with this seller was heartwarming. He understood the requirements and delivered above expectation. I look forward to more work in future together.
bilws18,Singapore,5,Great work as always
website_matters,Pakistan,5,"Kranthimottu is a gem, surely will work again"
sureindia,India,5,Good exposure to industry standards.
alhanoof_k,Saudi Arabia,5,"Great knowledge on data science & high quality work
would like to work with him again"
pedrorafael45,United States,5,She works really  fast. She is enthusiastic about her work!!! She has a good knowledge of machine learning and Data Science! I highly recommend her!!!!
michaelky,Cyprus,5,"Without a doubt, I recommend them! She know in and out of data science and handled my projects with ease. Also, amazing fast delivery. Would recommend her surely"
michaelky,Cyprus,5,"I recommend them! 
,Without a doubt,She know in and out of data science and handled my projects with ease.  fast delivery. Would recommend her 10000000%"
michaelky,Cyprus,5,Great service.. my favourite seller ever .. recommend for data science.
majestic6548,Guatemala,5,"Amazing communication all along the way, everything was delivered as expected and more! Will surely hire ayesha_studio again!!!"
mmo2ben,Israel,5,"The service was given in time and per the specification, will do business in the future with you as well!"
rafaelguerra552,United States,5,Very easy to work with and well written articles!
datafanatic10,United States,5,Perfect and nice article as I was expecting.
adambinabbas,Saudi Arabia,5,"very well written , clearly knowledgeable about the subject of data science"
giovannigp1,Italy,5,"The Seller was dedicated to understanding our needs, understood our problems and was cleverly proactive in helping us find a solution that is right for us. Communication was very good, fluid, without formalities. We certainly want to work with him again and recommend him to others. An outstanding supplier."
dlyles21,United States,5,Wonderful to work with. Goes the extra mile.  Thank you so much!
peacebel,Belgium,5,"Great work, great communication."
austin142,United States,5,Incredible and timely! He did a fantastic job of making sure not only what was needed to be done was complete but that we understood how it worked to use it ourselves in the future.
grungelady,United States,5,CoderJS did a great job with the Twitter request I asked of him. Will use his services again for other projects I will have. Highly recommended for any of your data needs.
nathandre,Canada,5,"Patient and good customer services, sometimes ask questions to make sure he does not mess up the work but over all, worth it"
dlouky,Spain,5,he gives me the work very fast and with great quality! Excellent professional!
kushrules,United States,5,Highly recommend for all AWS tasks.  Seller was very helpful in helping me figure out how to manage my data.
kurtcipa,Germany,5,Fast and Good.
digifishdev,Australia,5,"Hi

I have reviewed you scripts and am very happy. Nice work. 

Will be in touch if I need any futher AWS work done.


Thank you

digifish"
nathandre,Canada,5,"Great guy, he went above and beyond. He made sure the job came through, his effort is most recommended and you won't regret. Also great customer service and deserves to be on level three on fiverr."
totalmow,United Kingdom,5,I am really happy from the service provided. Vinnyk649 is experienced professional data engineer. She helped me with my task quickly and explained everything to me step by step. Communication is on high level and response time is quick. I really recommend this seller to anyone who has any problems related to data. 100% satisfaction
rossj2,Ireland,5,Amazing seller with great communication and knowledge of topics. Her detailed approach made the information very easy to understand. Highly Recommend.
tamood,Reunion,5,"Excellent work, delivered ahead of schedule and great quality. Also really responsive and willing to answer questions. Would definitely work with Vinnyk649 again!"
tamood,Reunion,5,"Excellent work, as always! Great communication, quick to response and very fast delivery. Thank you very much!"
skeptorr,United States,5,"Fulfilled my order really quick, and provided very thorough and informative code"
pauline11,United States,5,"Finished work without error, good with communication"
wesleykruijthof,Netherlands,5,"Communicative, fast, clear, and effective. Would recommend!"
pauline11,United States,5,Fast delivery and responsible seller
mikadox,Germany,5,"So professional! So patient! So fast!
Highly recommend him to everyone!"
pauline11,United States,5,"Good at communicating , did the project fast, hard working seller. Would buy again"
amritangshumukh,India,5,Fast delivery and good work
amritangshumukh,India,5,Quick delivery and clean code
goktugozdem,Turkey,5,I would definitely call him about any ETL work. Great freelancer!
miahe1,United States,5,"Great experience overall! 

Great work and on time!"
dibson,United States,5,"Seller did an excellent job and gave me a very fast turn around of the job, with hours he had code issues resolved!"
miahe1,United States,5,Great service!!
toardo,Italy,5,all good my friend
mrkasis,Ireland,5,"Ahmad is a very intelligent man with great work ethic. He understands the problems efficiently and provides solutions quickly, 10/10 would recommend to a friend"
ss_als,United Arab Emirates,5,Such great work and really fast delivery! My work was delivered in 2 hours as i requested and it was perfectly completed like asked in the requirements!
alexaltec,United Kingdom,5,Once again great job!
alexaltec,United Kingdom,5,Very satisfied! Would 100% recommend
brennaeh,China,5,"Excellent work done fast with no hassle. 

Can't ask for better on Fiverr"
brennaeh,China,5,"Excellent work. The most professional, reasonable person I have worked with on Fiverr. 

Highly recommend."
stefm123,Netherlands,5,It was great working with Ahmad. I had a Pyspark problem that I did not understand and asked Ahmad if he could help. He responded very quickly and we agreed to terms without problems. He delivered faster than expected and also explained in detail how the code worked so that I could be more confident to modify it myself in the future. I asked for one change and he also delivered this very quickly. I saw Ahmad is a skilled Data Engineer who can communicate well and deliver quality work on time. I highly recommend him!
hardik2305,Canada,5,It was great to work with him
jasperdewinter,Netherlands,5,A pleasure to work with!
hardik2305,Canada,5,Best person to work with
sandr2021,United States,5,Great work
nicho567,Malaysia,5,"Great communication and attention to detail, he is the one that can solve my big data in a short period of time."
alexaltec,United Kingdom,5,Very please! Would recommend
brandonchen443,Malaysia,5,very fast and decisive
rasulkamolov,Uzbekistan,5,very talented guy
mariogonzalez_,Pakistan,5,Completely amazed by the level of service i received. I have worked with many sellers since i sell templates myself but this guy is truly a legend he knows his stuff. He is the best chatbot developer here! everybody should get this Gig. Totally recommended. 5 big starss!
gurpsangha,Canada,5,"Have been working with this seller for a very long time. Great at problem solving. Highly recommended. You will find a lot of very bad people on Fiverr, however this seller and his team are amazing. I had to go through countless horrible sellers before finding this seller. Thank you so much"
finance_adviser,Pakistan,5,Very pleased! He did a messenger bot for my business and it came out great. Work was completed quickly and the communication was top notch. I literally gave him nothing to work with and he came up with everything including my welcome message and all the flows. Thank you for your great work!
hardy10,United Kingdom,5,"Saqib is an expert at Chatbot Development, I was advised that I could not duplicate flows, but Saqib stepped in and completed the flow without any problems, would highly recommend  and communication is excellent"
statusshop,United States,5,He over delivered I love the word can’t wait to see how many leads I get off of this I’ll let you know soon
tysean92,United States,5,Responds 24/7. Works Quickly! Helps grow my business 24 people in 24 hours!!! List building expert! That 800+ people to market too!
richliaosssss,Philippines,5,"Xuhaibb is patient and helpful in making us get the messenger bot be customized to our needs. Even he work tirelessly on some areas of the bot the we decided to remove along the way -- he still is patient handling the revisions we asked from him. We are happy that he is the one who assisted us for this gig, as his patience, understanding and implementation were the best and we will choose him again in case we need him in our future projects. Thank you for being understanding and giving us your full time for the fulfillment of this bot. Good luck!"
jakubdonovan,United Kingdom,5,Very good and hard working seller. He put in a lot of effort to help me improve my bot and made sure that my customers will have a good user experience. Will continue to work with him for sure
lauraplatt1987,Indonesia,5,"Second time i've worked with this seller. SO FAST again, amazing work. Figured out what I spent 2 days stressing over in about 5 minutes."
kaner1979,United Kingdom,5,"Chat bot was built within timescales and designer was very helpful and patient.
Very happy with service and will be using again."
glennyench,Singapore,5,"HIRE THIS FREELANCER! 
One of the best freelancers I have ever worked with. I gave him very little information or direction to complete or even get the job started. 
The initiative he showed in setting up, integrating and testing a Chatbot I hired him for, was incredible. He did it incredibly fast and is very responsive to any messages/requests.

Job Requests: Chatbot (Using ""ManyChat"")
1. Set up a chatbot and integrate it with my Facebook business page.
2. Write a custom script and create the dialogue steps."
glennyench,Singapore,5,"HIRE THIS FREELANCER!
One of the best freelancers I have ever worked with. I gave him very little information or direction to complete or even get the job started.
The initiative he showed in setting up, integrating and testing a Chatbot I hired him for, was incredible. He did it incredibly fast and is very responsive to any messages/requests.

Job Requests: Chatbot (Using ""ManyChat"")
1. Set up a chatbot and integrate it with my Facebook business page.
2. Write a custom script and create the dialogue steps."
aamirkhan569,Hong Kong,5,"You kidding?? The fastest delivery ever???? 

I paid for the biggest package and its suppose to be for 7 days. I spoke to Waqas via Zoom and he delivered in less than 2 hours. Amazing."
geralddeer,Canada,5,Working with Waqas was very very easy. He gets things done exactly the way you want or has really good suggestions to make things even better. I would highly recommend him for you chatbot needs and now I'm hiring him for other services because his work was so good and fast. A+++ Great person to work with and make sure you are completed satisfied with the work.
aishajusthobbs,United States,3,"The Bot didn't meet my needs but I appreciate him attempting to meet my high expectations. Calm, professional attitude and willingness to do well.  Great customer service."
mohamedcourses,Georgia,5,"I have been using fiver for many years, I think this was the best experience with a seller ever!
He is professional, friendly and helpful.
I'm kinda speechless from this experience, he did everything we asked for and more!
Highly recommended, if you want to have a super professional man in your team.
I want to thank him so much for all his effort, and I hope fiver can give him the opportunity to teach other sellers how to provide a great experience for your clients."
milesmatias,United States,5,Amazing seller. He set up my Facebook messenger bot for my business and it has helped me generate a lot of sales I am very grateful to the seller he truly did a great job
homelux_theory,Canada,5,"Very detailed and patient seller. Although there were some issues happened during the task which took us some time, it was eventually fixed. The video explanation makes everything very easy to understand which is a bonus. Great service."
jnajera70,United States,5,Good work in a very short period of time.  Responded super quick and very professional.  I will continue doing business with him for sure!!!
goingnatural,United States,5,Good experience. He has the knowledge and I like the fact that he really listens.
phillip_howz,United Kingdom,5,"Never have I seen such quality attention to every detail than Mr. Haider. He has topnotch skill and experience to put your message across in a funny , light , entertaining and natural manner that makes it very engaging . He is motivated to give his best work and he delivered it with the best , nothing less"
serenaaguilar60,United States,5,"Wow what a great service.. and everything done is with well thought through reason! proactive approach, cares about the end goals and the why's... i wish all sellers were like this! my bot was done excellently with little guidance - thank you!"
fullstackteam,Romania,5,"Haider was awesome in creating my desired design of the quiz funnel. I loved the creativity and ideas given by Haider regarding funnels. 

He even sent a video to explain me what he implemented. 

I will hire him for sure. Highly recommended."
andriathomas,United States,5,Haider is the guy to go to for any chat bot advertising. Very responsive and willing to help with any requests
dpoche,United States,5,"Great job setting up facebook giveaways automatically using manychat. Integrated google sheets to record customer data and limit number of giveaways. 

Great job."
creativeminz,United States,5,"Working with Rob has been great, very communicative and worked to understand the needs of our company in order to deliver a great project. We’ll definitely be working with Rob and his team again!"
colinwynd,United States,5,Great work.
ezradallas,United States,5,Thank you for your great work! Great job
hjobanputra,India,5,Stellar developer and bot specialist. He will be my go to guy for bots. More than satisfied. He overdelivered.
stepsignal,Indonesia,5,Very pleased with the extra additions to our chatbot and email campaigns thanks
patsymoxon,United Kingdom,5,"Excellent communication
Excellent Delivery 
Excellent end result
Very Satisfied"
eaglesfan982,United States,5,"As always, Stef did a wonderful job updating our Tidio chat bot.  On behalf of our company and the community we serve, thank you :)."
arhamgraham,United States,5,"Exactly provided what I asked for, appreciated."
yusraasif,Pakistan,5,great work
yusraasif,Pakistan,5,"Done the work as expected,  thanks."
alexbirmangham,United Kingdom,5,"He exceeded the expectations, delivered before the time, thanks!!"
yusraasif,Pakistan,5,"He is a great communicator to be honest, perfect!!"
raymondngb,Singapore,5,"She is quick to response.
She understands my requirements very well
She goes beyond in doing the job and provide proper guide
Her output is professional. A talented person who has passion in her work."
vectorsense,India,5,"Excellent Work.

She is very dependable"
vincentdoedee,Netherlands,4.7,"Great service and speedy delivery by Aarohi, would like to work on more projects like this in the future."
vasurang,United States,5,Fast delivery
prajneyakumar,India,5,"Amazing to work with Aarohi, she goes way out of length to help you. Not only does she provide great quality of work, but also provides awesome assistance. Completed the work way before the deadline with proper requirements. 

Would love to work with her again."
marija_kopf,Germany,5,"Very cooperative, very good know-how."
georgepantazin,Romania,5,"very fast, recomend"
jamiejamie992,New Zealand,5,Great work guys!
sumanreddyz,Ireland,5,"Easily approachable
Gave extra time to finish the project
Would love to work with him in the future"
richasingh186,Canada,5,"Great work, highly recommended!! We were addressed with all our requirements for the project, had smooth communication as well, will be working with them again in the future for any similar requirements."
pret0rian,Romania,5,"The seller is amazing. By any means, he and the team are doing a great job. If you are looking for a developer involved and 100% on target... This is the one. I am confident we will have a long-term collaboration as well."
thesentinel1,Australia,5,"Although we had a few misscommunication errors due to fiverrs messaging, I cannot fault Ultra scrape, hes unbelivable and has exceeded my expectations. I am extremly happy with the work he has provided and would love to work with him again. Hes a good guy and exceeded my expectations by 200%. I couldnt give him a higher rating as there isnt one! truely excellent service that I'd love to use again depending on his thoughts. Its no wonder hes fiverrs top rated seller for data scrapping. 100 stars!!"
cmariushall,United States,5,"I've been working with scrapers for 20 years and Fiverr's for at least 10. This is one of the best experiences I've had. Ultra_Scrape knows how to communicate, understand the desired outcome, and deliver a quality product. In fact, he/they went above and beyond, clearly spending time ensuring the data was perfect before delivering it. I highly recommend Ultra_Scrape and will be using this service again."
markherod,Canada,5,I asked for a website to be scraped of emails and phone numbers.     This was done in a few hours and I am VERY impressed with the level of complexity and how fast this  was done. If you ever need someone to gather info from a website this is the person to use !!
physiogear,Australia,5,This was very simple. The seller knows his work and was able to suggest options that made it simple to decide. I am using this information to establish accuracy before contacting him again to build the volume.
peachnogo,United States,5,Got extremely detailed data within a very reasonable time window.  He delivered on everything he said and made revisions quickly.  No one else said they could scrape what he scraped.  I will definitely use him again next time I need scraping.
powerplayerbc,United States,5,"Fantastic Job. Was able to pull exactly the information I needed from a website. And we're talking tons of information off of multiple pages. The information was not uniform on each page, and his scraper was able to get it all exactly. Highly recommend!"
asjailou1,United States,5,AMAZING WORK. In the beginning they said it was not possible to get data from a site. but then to my surprise they never gave up and found a way to get the data I needed. GREAT JOB AND THANK YOU!
achester,United States,5,Provided a landing page and a single example for what data we needed from the landing page. The results were delivered cleanly and quickly with no issues.
yanaatkinson,United Kingdom,5,"One of the best sellers on Fiverr: efficient, understands the task very quickly and in general a pleasure to work with"
wanberge3,United States,5,"Highly skilled, and great with communication. Provided what I needed faster than what was expected and hit the mark every time!"
serge2021,Germany,5,"Deserves every of the previous 5-Star Ratings. Awesome communication before order, super fast delivery and outstanding performance just as discussed. This is what I call customer centric. Will be back for sure."
kag123,United States,5,"I sent shafaqat048 information my project and he responded very quickly with both a solid understanding of what I was attempting to do and how to do it. While he stated he would need 2 days, he completed the project with a few hours. I would highly recommend him for your data mining project.  He did an excellent job.  I already have project #2 lined up for him."
kag123,United States,5,"It is a pleasure to work with Shafaqat048 and his team. This is my second order with him and very pleased. He provided exactly what I requested and completed the order very quickly. I can recommend him without reservation in the area of web scraping, excel and data mining. His expertise and delivery is well worth the cost of the order."
cmariushall,United States,5,"Seller did a perfect job. We probably should have communicated more about the details ahead of time so that we both understood what was being asked. However, this did not slow down the job and the result was just as expected."
blaxxun89,Germany,5,"Absolutely great experience. Quality of the data was perfect, communication was direct and professional. Will for sure work with Shafaqat again for web scraping and data mining projects. Thanks a lot for your help. :-)"
markusespeter,Belgium,5,"Adeel was very responsive and delivered excellent work on my request within ten hours upon a special agreed price which was very fair and affordable for the work done. For the price paid I received almost 400 contacts including email and contact number from a website that was scraped. Awesome!

I had one request to make a change in the data which was dealt with immediately.

I can recommend Adeel 100% and will order again for my next request within this area."
twan_ai_venture,Switzerland,2.3,"Seller generally does a good job and is responsive, but for this task he missed one (critical) aspect, which was clearly listed as a deliverable and without any communication until we started querying why it was missing from the delivered set. In the end he would/could not deliver it, so we're left with a half-solution. A pity as in other respects the work was good."
thomatkinson,United Kingdom,4,"Adeel, was fast, reliable and delivered what was asked. There were some issues with scope of service but these were largely due to my not defining my scope of services tightly enough. Adeel delivered what was requested but made some assumptions that meant the product wasn't quite as expected."
brandonocampo,United States,5,First time working with this seller. Received delivery earlier than expected and it was perfect! I was expecting to have to work through revisions but that wasn't the case. Everything was perfect! I'll be using this seller every time! Extremely satisfied with the results. Thank you!
dillonwalton10,United States,5,"Amazing work, was completed very early and with perfection. Very satisfied and will come back to this seller time and time again."
mscheerer,United States,5,"Wow, I can't thank you enough. This was an urgent and critical task that I needed to get done but had no ability to do so. Even the organization who runs the platform was unable to help me and I would have had to do everything manually. Can't speak highly enough of you, your ability to get what I needed done, your communication, and responsiveness. Will definitely be back for anything else that comes up."
bigriodog,United States,5,"SUPER FANTASTIC!
I can't express in simple words the job outstanding job mdysaul has done for us.  The work was complicated and he resolved all the problems to a point of excellence. 
He went so far as to make a video for me on how to easily use his work. (I need all the help I can get as I'm 73 years old and not the IT literate)
His grammar and English is also a 10 out of 10.  
If you need a problem solver, that's professional and quick...He's your man.
BIGRIODOG
Las Vegas, NV USA"
hammondcare,Australia,3.3,"We appreciate the speed and punctiality with this job. Overall it was quite good, however when we first received the xml file it didn't include everything we'd asked for. This was rectified within the day but no explanation nor apology was given."
cameronkotara,United States,5,Mdyasul was very skilled and persistent with a very demanding request related to data mining and scraping. He was able to understand a complex request as well as work around many challenges with what was required to complete the gig. I would recommend him to anyone who is looking to hire someone for data mining/scraping. I will be using his services again in the future.
simransingh877,Canada,5,"It was one of the hardest lists to do, this fella did all of it manually and delivered 1000% on time. Amazing work indeed!"
dariaweb,Mexico,5,"I'm IMPRESSED!! So professional seller (fast, efficient, perfect communication)
He went about and beyond! Don't even think about searching for another seller. Stop here and make an order! 100% RECOMMENDED"
saulgoodman496,Malaysia,5,Very lovely seller to deal with. He completed my work faster than I expected & very easy to work with fluent English speaking skills. Highly recommend to anybody!
fuegohd,United States,5,Great work in super fast time! Also very helpful and willing to take the time to explain everything in details. Will certainly hire again and highly recommend.
cloudend009,United States,5,he is awesome. very quick and very knowledgeable. best thing is he is quick. I am sorry you have to bear with me.  I genuinely recommend him to people who are looking for fine python code. I have worked with other developers too but this code is really professional. thanks again.
guyoskar,Israel,5,"The second time I am ordering from him. I am more than satisfied! perfect work, fast delivery, and always free to communicate."
munzer1,United States,4,"Seller is good. But out of first 1,00 email 47 emails bounced back. I wouldn't know if the remaining one are good emails until after two weeks from now when I will end up sending out all the emails and wait response from the recipients. But I will give this seller a chance and order one more batch, milestone # 2. 

After milestone # 2, I will wait for a response back from the recipients."
sunshine_jude,United Kingdom,5,Great work from this seller. I received the list of contact details as requested.  The information was very comprehensive and I'm using the information for lead generation. I will be using this seller again in the future. Well done!
pointman5,Switzerland,5,"The seller took on an extremely tedious data entry task copy and pasting the content of several hundreds of pdfs. Still, he finished well ahead of time. Communication was smooth and quick. I can only recommend him and his team!"
munzer1,United States,1,"50% email bounced back to. Another 30% emails went to the wrong recipient.
To correct this the seller need to resubmit new sets of emails starting at row number 2200 in my email Excel sheet."
hgnicoll,United States,5,This was a difficult research assignment but he delivered it on time and met all the conditions. Extremely well done!
busdriver320,United Kingdom,5,Excellent work to complete a complex bot to web scrape data and extract on 2 seperate csv files. Will definetley use again.
damlagozlu,Canada,5,Always a pleasure to work with! Very professional seller. Gets really engaged in your gig and delivers quality work ahead of time.
damlagozlu,Canada,5,Hamza is genius! I've worked with him several times and always come back. So pleased to find such a reliable seller. Highly recommend!
mrsssniper,Kuwait,5,excellent communication  definitely recommend
dschmid,Germany,5,I'm very satisfied with the results from the scrape. I will buy more scrapes from amzshow :)
giftyou216,Morocco,5,Great job done
hughseaton1,United States,5,"Very clear, knowledgeable, he answered my questions and referred me to some resources that will help us move forward. Exactly what I needed and more."
workxon,United Arab Emirates,5,Its my third time working with him. Very quick and responsive
workxon,United Arab Emirates,5,my 2nd order. it was a good working experience with him
workxon,United Arab Emirates,5,It was great working with you !! Very responsive and Quick Delivery.
marvinmartin629,Saint Kitts and Nevis,5,he takes a little time but in the end did a good job so thank you
drelabre,Canada,5,"Albert was quick to respond to my request. He took the time to understand what I needed and proposed a solution to my current technical limitations that would work for me now and easily be upgraded in the future as my tech improves. Delivery was fast (no doubt aided by time zone differences). I got what I needed sooner than I was expecting. I will be calling on him again.

Highly recommended."
geardiscounter,Netherlands,5,Amazing service and Alberttam795 knows a lot about GPT-3. He is an expert and I will work with him again!
will_lliw,United States,5,Great Seller!! He did everything according to my specifications
localdish,United States,5,We appreciate Tasty Coders attention to detail on our articles. They have been collaborative partners as we build our library of posts to help increase our ranking. We recommend them without hesitation
localdish,United States,5,Tasty coders is super easy to work with. The content is getting better with each article we've requested! This article was about the best healthy restaurants in Portland and the descriptions were inspiring and thorough. Timeline was met and We wholeheartedly recommend this vendor without reservation.
nyte,United States,5,Great work!
vicenzo88,Portugal,5,Just the best ! a real gentleman and professional .  I have no words
sl2212,Australia,5,Highly highly recommend Tastycoders!
michaellee72,Singapore,5,"You know how when you do PDF-to-doc conversions over free online websites, and certain passages have jumbled up words? That takes a long time on my own, but Marjan helped me clean up the mess for a text that is near ready to be used for layout! To be sure, I still do need to make small formatting correction myself, but Marjan saved me hours and days of letter-shifting. I'm preparing a next batch now for her to do. Highly recommended!"
michaellee72,Singapore,5,"Solid, simply first class service and product! Marjan checked with me on error in my scans, and we managed to sort things out well."
mcmc,United States,5,Great work. Highly recommend.
bdaybob,United States,5,"PDF converted to Apache was completed within timescale and accurately, Thank you for your service and i will highly recommend Digitalmarket32."
betterc,Australia,5,"GREAT Service.
Seller was easy to work with.
Delivery well ahead of schedule.

I WILL be back again"
mirabelle1998,Germany,5,Everthing was delivered on time and as needed. I would highly recommend the seller! :-)
softsoulss,Pakistan,5,Excellent Work.
adrianj45,United States,5,"Thanks for your great service.
Excellent Work."
sophihun,United States,5,"I like service provided photophactory, most recommended."
ouobam,United States,5,I am satisfied with the final delivery. Look forward to working with him again
blabla381,Netherlands,5,he is the best guy on fiver i know so far. going to work with him on a complex one.
jonathanhui420,United States,5,Successfully completed a computer vision of tif files to automate rotation based on orientation of object within image.  Great clear scope and service and responsiveness.  Thank you!
appmatts,United States,5,Very good work. Thanks a lot as always.
appmatts,United States,5,Awesome work as always
jamesa49,Hong Kong,5,very helpful in fixing all of my problems. Good communication and great product.
antonioiturbe,Mexico,4,Good in general terms.
dcs2021,Thailand,5,"great work, i will work with him again"
nverback,Netherlands,5,Thank you for the effort and tips brother!
netarus,United States,5,Prompt and detailed work.  He has a clear vision of what needs to be accomplished.
